Position,PositionText,Points,DriverId,GivenName,FamilyName,Race,Race_name
6,6,8,sainz,Carlos,Sainz,9,Austrian Grand Prix
7,7,6,russell,George,Russell,9,Austrian Grand Prix
8,8,4,hamilton,Lewis,Hamilton,9,Austrian Grand Prix
9,9,2,stroll,Lance,Stroll,9,Austrian Grand Prix
10,10,1,gasly,Pierre,Gasly,9,Austrian Grand Prix
11,11,0,albon,Alexander,Albon,9,Austrian Grand Prix
12,12,0,zhou,Guanyu,Zhou,9,Austrian Grand Prix
13,13,0,sargeant,Logan,Sargeant,9,Austrian Grand Prix
14,14,0,ocon,Esteban,Ocon,9,Austrian Grand Prix
15,15,0,bottas,Valtteri,Bottas,9,Austrian Grand Prix
16,16,0,piastri,Oscar,Piastri,9,Austrian Grand Prix
17,17,0,de_vries,Nyck,de Vries,9,Austrian Grand Prix
18,18,0,kevin_magnussen,Kevin,Magnussen,9,Austrian Grand Prix
19,19,0,tsunoda,Yuki,Tsunoda,9,Austrian Grand Prix
20,R,0,hulkenberg,Nico,Hülkenberg,9,Austrian Grand Prix
1,1,26,max_verstappen,Max,Verstappen,10,British Grand Prix
2,2,18,norris,Lando,Norris,10,British Grand Prix
3,3,15,hamilton,Lewis,Hamilton,10,British Grand Prix
4,4,12,piastri,Oscar,Piastri,10,British Grand Prix
5,5,10,russell,George,Russell,10,British Grand Prix
6,6,8,perez,Sergio,Pérez,10,British Grand Prix
7,7,6,alonso,Fernando,Alonso,10,British Grand Prix
8,8,4,albon,Alexander,Albon,10,British Grand Prix
9,9,2,leclerc,Charles,Leclerc,10,British Grand Prix
10,10,1,sainz,Carlos,Sainz,10,British Grand Prix
11,11,0,sargeant,Logan,Sargeant,10,British Grand Prix
12,12,0,bottas,Valtteri,Bottas,10,British Grand Prix
13,13,0,hulkenberg,Nico,Hülkenberg,10,British Grand Prix
14,14,0,stroll,Lance,Stroll,10,British Grand Prix
15,15,0,zhou,Guanyu,Zhou,10,British Grand Prix
16,16,0,tsunoda,Yuki,Tsunoda,10,British Grand Prix
17,17,0,de_vries,Nyck,de Vries,10,British Grand Prix
18,18,0,gasly,Pierre,Gasly,10,British Grand Prix
19,R,0,kevin_magnussen,Kevin,Magnussen,10,British Grand Prix
20,R,0,ocon,Esteban,Ocon,10,British Grand Prix
1,1,26,max_verstappen,Max,Verstappen,11,Hungarian Grand Prix
2,2,18,norris,Lando,Norris,11,Hungarian Grand Prix
3,3,15,perez,Sergio,Pérez,11,Hungarian Grand Prix
4,4,12,hamilton,Lewis,Hamilton,11,Hungarian Grand Prix
5,5,10,piastri,Oscar,Piastri,11,Hungarian Grand Prix
6,6,8,russell,George,Russell,11,Hungarian Grand Prix
7,7,6,leclerc,Charles,Leclerc,11,Hungarian Grand Prix
8,8,4,sainz,Carlos,Sainz,11,Hungarian Grand Prix
9,9,2,alonso,Fernando,Alonso,11,Hungarian Grand Prix
10,10,1,stroll,Lance,Stroll,11,Hungarian Grand Prix
11,11,0,albon,Alexander,Albon,11,Hungarian Grand Prix
12,12,0,bottas,Valtteri,Bottas,11,Hungarian Grand Prix
13,13,0,ricciardo,Daniel,Ricciardo,11,Hungarian Grand Prix
14,14,0,hulkenberg,Nico,Hülkenberg,11,Hungarian Grand Prix
15,15,0,tsunoda,Yuki,Tsunoda,11,Hungarian Grand Prix
16,16,0,zhou,Guanyu,Zhou,11,Hungarian Grand Prix
17,17,0,kevin_magnussen,Kevin,Magnussen,11,Hungarian Grand Prix
18,R,0,sargeant,Logan,Sargeant,11,Hungarian Grand Prix
19,R,0,ocon,Esteban,Ocon,11,Hungarian Grand Prix
20,R,0,gasly,Pierre,Gasly,11,Hungarian Grand Prix
1,1,25,max_verstappen,Max,Verstappen,12,Belgian Grand Prix
2,2,18,perez,Sergio,Pérez,12,Belgian Grand Prix
3,3,15,leclerc,Charles,Leclerc,12,Belgian Grand Prix
4,4,13,hamilton,Lewis,Hamilton,12,Belgian Grand Prix
5,5,10,alonso,Fernando,Alonso,12,Belgian Grand Prix
6,6,8,russell,George,Russell,12,Belgian Grand Prix
7,7,6,norris,Lando,Norris,12,Belgian Grand Prix
8,8,4,ocon,Esteban,Ocon,12,Belgian Grand Prix
9,9,2,stroll,Lance,Stroll,12,Belgian Grand Prix
10,10,1,tsunoda,Yuki,Tsunoda,12,Belgian Grand Prix
11,11,0,gasly,Pierre,Gasly,12,Belgian Grand Prix
12,12,0,bottas,Valtteri,Bottas,12,Belgian Grand Prix
13,13,0,zhou,Guanyu,Zhou,12,Belgian Grand Prix
14,14,0,albon,Alexander,Albon,12,Belgian Grand Prix
15,15,0,kevin_magnussen,Kevin,Magnussen,12,Belgian Grand Prix
16,16,0,ricciardo,Daniel,Ricciardo,12,Belgian Grand Prix
17,17,0,sargeant,Logan,Sargeant,12,Belgian Grand Prix
18,18,0,hulkenberg,Nico,Hülkenberg,12,Belgian Grand Prix
19,R,0,sainz,Carlos,Sainz,12,Belgian Grand Prix
20,R,0,piastri,Oscar,Piastri,12,Belgian Grand Prix
1,1,25,max_verstappen,Max,Verstappen,13,Dutch Grand Prix
2,2,19,alonso,Fernando,Alonso,13,Dutch Grand Prix
3,3,15,gasly,Pierre,Gasly,13,Dutch Grand Prix
4,4,12,perez,Sergio,Pérez,13,Dutch Grand Prix
5,5,10,sainz,Carlos,Sainz,13,Dutch Grand Prix
6,6,8,hamilton,Lewis,Hamilton,13,Dutch Grand Prix
7,7,6,norris,Lando,Norris,13,Dutch Grand Prix
8,8,4,albon,Alexander,Albon,13,Dutch Grand Prix
9,9,2,piastri,Oscar,Piastri,13,Dutch Grand Prix
10,10,1,ocon,Esteban,Ocon,13,Dutch Grand Prix
11,11,0,stroll,Lance,Stroll,13,Dutch Grand Prix
12,12,0,hulkenberg,Nico,Hülkenberg,13,Dutch Grand Prix
13,13,0,lawson,Liam,Lawson,13,Dutch Grand Prix
14,14,0,bottas,Valtteri,Bottas,13,Dutch Grand Prix
15,15,0,tsunoda,Yuki,Tsunoda,13,Dutch Grand Prix
16,16,0,kevin_magnussen,Kevin,Magnussen,13,Dutch Grand Prix
17,17,0,russell,George,Russell,13,Dutch Grand Prix
18,R,0,zhou,Guanyu,Zhou,13,Dutch Grand Prix
19,R,0,leclerc,Charles,Leclerc,13,Dutch Grand Prix
20,R,0,sargeant,Logan,Sargeant,13,Dutch Grand Prix
1,1,25,max_verstappen,Max,Verstappen,14,Italian Grand Prix
2,2,18,perez,Sergio,Pérez,14,Italian Grand Prix
3,3,15,sainz,Carlos,Sainz,14,Italian Grand Prix
4,4,12,leclerc,Charles,Leclerc,14,Italian Grand Prix
5,5,10,russell,George,Russell,14,Italian Grand Prix
6,6,8,hamilton,Lewis,Hamilton,14,Italian Grand Prix
7,7,6,albon,Alexander,Albon,14,Italian Grand Prix
8,8,4,norris,Lando,Norris,14,Italian Grand Prix
9,9,2,alonso,Fernando,Alonso,14,Italian Grand Prix
10,10,1,bottas,Valtteri,Bottas,14,Italian Grand Prix
11,11,0,lawson,Liam,Lawson,14,Italian Grand Prix
12,12,0,piastri,Oscar,Piastri,14,Italian Grand Prix
13,13,0,sargeant,Logan,Sargeant,14,Italian Grand Prix
14,14,0,zhou,Guanyu,Zhou,14,Italian Grand Prix
15,15,0,gasly,Pierre,Gasly,14,Italian Grand Prix
16,16,0,stroll,Lance,Stroll,14,Italian Grand Prix
17,17,0,hulkenberg,Nico,Hülkenberg,14,Italian Grand Prix
18,18,0,kevin_magnussen,Kevin,Magnussen,14,Italian Grand Prix
19,R,0,ocon,Esteban,Ocon,14,Italian Grand Prix
20,R,0,tsunoda,Yuki,Tsunoda,14,Italian Grand Prix
