,Position,PositionText,Points,DriverId,GivenName,FamilyName,Race,Race_name
230,12,12,0,bottas,Valtteri,Bottas,11.0,Hungarian Grand Prix
231,13,13,0,ricciardo,Daniel,Ricciardo,11.0,Hungarian Grand Prix
232,14,14,0,hulkenberg,Nico,Hülkenberg,11.0,Hungarian Grand Prix
233,15,15,0,tsunoda,Yuki,Tsunoda,11.0,Hungarian Grand Prix
234,16,16,0,zhou,Guanyu,Zhou,11.0,Hungarian Grand Prix
235,17,17,0,kevin_magnussen,Kevin,Magnussen,11.0,Hungarian Grand Prix
236,18,R,0,sargeant,Logan,Sargeant,11.0,Hungarian Grand Prix
237,19,R,0,ocon,Esteban,Ocon,11.0,Hungarian Grand Prix
238,20,R,0,gasly,Pierre,Gasly,11.0,Hungarian Grand Prix
239,1,1,25,max_verstappen,Max,Verstappen,12.0,Belgian Grand Prix
240,2,2,18,perez,Sergio,Pérez,12.0,Belgian Grand Prix
241,3,3,15,leclerc,Charles,Leclerc,12.0,Belgian Grand Prix
242,4,4,13,hamilton,Lewis,Hamilton,12.0,Belgian Grand Prix
243,5,5,10,alonso,Fernando,Alonso,12.0,Belgian Grand Prix
244,6,6,8,russell,George,Russell,12.0,Belgian Grand Prix
245,7,7,6,norris,Lando,Norris,12.0,Belgian Grand Prix
246,8,8,4,ocon,Esteban,Ocon,12.0,Belgian Grand Prix
247,9,9,2,stroll,Lance,Stroll,12.0,Belgian Grand Prix
248,10,10,1,tsunoda,Yuki,Tsunoda,12.0,Belgian Grand Prix
249,11,11,0,gasly,Pierre,Gasly,12.0,Belgian Grand Prix
250,12,12,0,bottas,Valtteri,Bottas,12.0,Belgian Grand Prix
251,13,13,0,zhou,Guanyu,Zhou,12.0,Belgian Grand Prix
252,14,14,0,albon,Alexander,Albon,12.0,Belgian Grand Prix
253,15,15,0,kevin_magnussen,Kevin,Magnussen,12.0,Belgian Grand Prix
254,16,16,0,ricciardo,Daniel,Ricciardo,12.0,Belgian Grand Prix
255,17,17,0,sargeant,Logan,Sargeant,12.0,Belgian Grand Prix
256,18,18,0,hulkenberg,Nico,Hülkenberg,12.0,Belgian Grand Prix
257,19,R,0,sainz,Carlos,Sainz,12.0,Belgian Grand Prix
258,20,R,0,piastri,Oscar,Piastri,12.0,Belgian Grand Prix
259,1,1,25,max_verstappen,Max,Verstappen,13.0,Dutch Grand Prix
260,2,2,19,alonso,Fernando,Alonso,13.0,Dutch Grand Prix
261,3,3,15,gasly,Pierre,Gasly,13.0,Dutch Grand Prix
262,4,4,12,perez,Sergio,Pérez,13.0,Dutch Grand Prix
263,5,5,10,sainz,Carlos,Sainz,13.0,Dutch Grand Prix
264,6,6,8,hamilton,Lewis,Hamilton,13.0,Dutch Grand Prix
265,7,7,6,norris,Lando,Norris,13.0,Dutch Grand Prix
266,8,8,4,albon,Alexander,Albon,13.0,Dutch Grand Prix
267,9,9,2,piastri,Oscar,Piastri,13.0,Dutch Grand Prix
268,10,10,1,ocon,Esteban,Ocon,13.0,Dutch Grand Prix
269,11,11,0,stroll,Lance,Stroll,13.0,Dutch Grand Prix
270,12,12,0,hulkenberg,Nico,Hülkenberg,13.0,Dutch Grand Prix
271,13,13,0,lawson,Liam,Lawson,13.0,Dutch Grand Prix
272,14,14,0,bottas,Valtteri,Bottas,13.0,Dutch Grand Prix
273,15,15,0,tsunoda,Yuki,Tsunoda,13.0,Dutch Grand Prix
274,16,16,0,kevin_magnussen,Kevin,Magnussen,13.0,Dutch Grand Prix
275,17,17,0,russell,George,Russell,13.0,Dutch Grand Prix
276,18,R,0,zhou,Guanyu,Zhou,13.0,Dutch Grand Prix
277,19,R,0,leclerc,Charles,Leclerc,13.0,Dutch Grand Prix
278,20,R,0,sargeant,Logan,Sargeant,13.0,Dutch Grand Prix
279,1,1,25,max_verstappen,Max,Verstappen,14.0,Italian Grand Prix
280,2,2,18,perez,Sergio,Pérez,14.0,Italian Grand Prix
281,3,3,15,sainz,Carlos,Sainz,14.0,Italian Grand Prix
282,4,4,12,leclerc,Charles,Leclerc,14.0,Italian Grand Prix
283,5,5,10,russell,George,Russell,14.0,Italian Grand Prix
284,6,6,8,hamilton,Lewis,Hamilton,14.0,Italian Grand Prix
285,7,7,6,albon,Alexander,Albon,14.0,Italian Grand Prix
286,8,8,4,norris,Lando,Norris,14.0,Italian Grand Prix
287,9,9,2,alonso,Fernando,Alonso,14.0,Italian Grand Prix
288,10,10,1,bottas,Valtteri,Bottas,14.0,Italian Grand Prix
289,11,11,0,lawson,Liam,Lawson,14.0,Italian Grand Prix
290,12,12,0,piastri,Oscar,Piastri,14.0,Italian Grand Prix
291,13,13,0,sargeant,Logan,Sargeant,14.0,Italian Grand Prix
292,14,14,0,zhou,Guanyu,Zhou,14.0,Italian Grand Prix
293,15,15,0,gasly,Pierre,Gasly,14.0,Italian Grand Prix
294,16,16,0,stroll,Lance,Stroll,14.0,Italian Grand Prix
295,17,17,0,hulkenberg,Nico,Hülkenberg,14.0,Italian Grand Prix
296,18,18,0,kevin_magnussen,Kevin,Magnussen,14.0,Italian Grand Prix
297,19,R,0,ocon,Esteban,Ocon,14.0,Italian Grand Prix
298,20,R,0,tsunoda,Yuki,Tsunoda,14.0,Italian Grand Prix
299,1,1,25,sainz,Carlos,Sainz,15.0,Singapore Grand Prix
300,2,2,18,norris,Lando,Norris,15.0,Singapore Grand Prix
301,3,3,16,hamilton,Lewis,Hamilton,15.0,Singapore Grand Prix
302,4,4,12,leclerc,Charles,Leclerc,15.0,Singapore Grand Prix
303,5,5,10,max_verstappen,Max,Verstappen,15.0,Singapore Grand Prix
304,6,6,8,gasly,Pierre,Gasly,15.0,Singapore Grand Prix
305,7,7,6,piastri,Oscar,Piastri,15.0,Singapore Grand Prix
306,8,8,4,perez,Sergio,Pérez,15.0,Singapore Grand Prix
307,9,9,2,lawson,Liam,Lawson,15.0,Singapore Grand Prix
308,10,10,1,kevin_magnussen,Kevin,Magnussen,15.0,Singapore Grand Prix
309,11,11,0,albon,Alexander,Albon,15.0,Singapore Grand Prix
310,12,12,0,zhou,Guanyu,Zhou,15.0,Singapore Grand Prix
311,13,13,0,hulkenberg,Nico,Hülkenberg,15.0,Singapore Grand Prix
312,14,14,0,sargeant,Logan,Sargeant,15.0,Singapore Grand Prix
313,15,15,0,alonso,Fernando,Alonso,15.0,Singapore Grand Prix
314,16,16,0,russell,George,Russell,15.0,Singapore Grand Prix
315,17,R,0,bottas,Valtteri,Bottas,15.0,Singapore Grand Prix
316,18,R,0,ocon,Esteban,Ocon,15.0,Singapore Grand Prix
317,19,R,0,tsunoda,Yuki,Tsunoda,15.0,Singapore Grand Prix
318,20,W,0,stroll,Lance,Stroll,15.0,Singapore Grand Prix
319,1,1,26,max_verstappen,Max,Verstappen,16.0,Japanese Grand Prix
320,2,2,18,norris,Lando,Norris,16.0,Japanese Grand Prix
321,3,3,15,piastri,Oscar,Piastri,16.0,Japanese Grand Prix
322,4,4,12,leclerc,Charles,Leclerc,16.0,Japanese Grand Prix
323,5,5,10,hamilton,Lewis,Hamilton,16.0,Japanese Grand Prix
324,6,6,8,sainz,Carlos,Sainz,16.0,Japanese Grand Prix
325,7,7,6,russell,George,Russell,16.0,Japanese Grand Prix
326,8,8,4,alonso,Fernando,Alonso,16.0,Japanese Grand Prix
327,9,9,2,ocon,Esteban,Ocon,16.0,Japanese Grand Prix
328,10,10,1,gasly,Pierre,Gasly,16.0,Japanese Grand Prix
329,11,11,0,lawson,Liam,Lawson,16.0,Japanese Grand Prix
330,12,12,0,tsunoda,Yuki,Tsunoda,16.0,Japanese Grand Prix
331,13,13,0,zhou,Guanyu,Zhou,16.0,Japanese Grand Prix
332,14,14,0,hulkenberg,Nico,Hülkenberg,16.0,Japanese Grand Prix
333,15,15,0,kevin_magnussen,Kevin,Magnussen,16.0,Japanese Grand Prix
334,16,R,0,albon,Alexander,Albon,16.0,Japanese Grand Prix
335,17,R,0,sargeant,Logan,Sargeant,16.0,Japanese Grand Prix
336,18,R,0,stroll,Lance,Stroll,16.0,Japanese Grand Prix
337,19,R,0,perez,Sergio,Pérez,16.0,Japanese Grand Prix
338,20,R,0,bottas,Valtteri,Bottas,16.0,Japanese Grand Prix
339,1,1,26,max_verstappen,Max,Verstappen,17.0,Qatar Grand Prix
340,2,2,18,piastri,Oscar,Piastri,17.0,Qatar Grand Prix
341,3,3,15,norris,Lando,Norris,17.0,Qatar Grand Prix
