,Position,PositionText,Points,DriverId,GivenName,FamilyName,Race,Race_name
122,5,5,10,russell,George,Russell,6.0,Monaco Grand Prix
123,6,6,8,leclerc,Charles,Leclerc,6.0,Monaco Grand Prix
124,7,7,6,gasly,Pierre,Gasly,6.0,Monaco Grand Prix
125,8,8,4,sainz,Carlos,Sainz,6.0,Monaco Grand Prix
126,9,9,2,norris,Lando,Norris,6.0,Monaco Grand Prix
127,10,10,1,piastri,Oscar,Piastri,6.0,Monaco Grand Prix
128,11,11,0,bottas,Valtteri,Bottas,6.0,Monaco Grand Prix
129,12,12,0,de_vries,Nyck,de Vries,6.0,Monaco Grand Prix
130,13,13,0,zhou,Guanyu,Zhou,6.0,Monaco Grand Prix
131,14,14,0,albon,Alexander,Albon,6.0,Monaco Grand Prix
132,15,15,0,tsunoda,Yuki,Tsunoda,6.0,Monaco Grand Prix
133,16,16,0,perez,Sergio,Pérez,6.0,Monaco Grand Prix
134,17,17,0,hulkenberg,Nico,Hülkenberg,6.0,Monaco Grand Prix
135,18,18,0,sargeant,Logan,Sargeant,6.0,Monaco Grand Prix
136,19,R,0,kevin_magnussen,Kevin,Magnussen,6.0,Monaco Grand Prix
137,20,R,0,stroll,Lance,Stroll,6.0,Monaco Grand Prix
138,1,1,26,max_verstappen,Max,Verstappen,7.0,Spanish Grand Prix
139,2,2,18,hamilton,Lewis,Hamilton,7.0,Spanish Grand Prix
140,3,3,15,russell,George,Russell,7.0,Spanish Grand Prix
141,4,4,12,perez,Sergio,Pérez,7.0,Spanish Grand Prix
142,5,5,10,sainz,Carlos,Sainz,7.0,Spanish Grand Prix
143,6,6,8,stroll,Lance,Stroll,7.0,Spanish Grand Prix
144,7,7,6,alonso,Fernando,Alonso,7.0,Spanish Grand Prix
145,8,8,4,ocon,Esteban,Ocon,7.0,Spanish Grand Prix
146,9,9,2,zhou,Guanyu,Zhou,7.0,Spanish Grand Prix
147,10,10,1,gasly,Pierre,Gasly,7.0,Spanish Grand Prix
148,11,11,0,leclerc,Charles,Leclerc,7.0,Spanish Grand Prix
149,12,12,0,tsunoda,Yuki,Tsunoda,7.0,Spanish Grand Prix
150,13,13,0,piastri,Oscar,Piastri,7.0,Spanish Grand Prix
151,14,14,0,de_vries,Nyck,de Vries,7.0,Spanish Grand Prix
152,15,15,0,hulkenberg,Nico,Hülkenberg,7.0,Spanish Grand Prix
153,16,16,0,albon,Alexander,Albon,7.0,Spanish Grand Prix
154,17,17,0,norris,Lando,Norris,7.0,Spanish Grand Prix
155,18,18,0,kevin_magnussen,Kevin,Magnussen,7.0,Spanish Grand Prix
156,19,19,0,bottas,Valtteri,Bottas,7.0,Spanish Grand Prix
157,20,20,0,sargeant,Logan,Sargeant,7.0,Spanish Grand Prix
158,1,1,25,max_verstappen,Max,Verstappen,8.0,Canadian Grand Prix
159,2,2,18,alonso,Fernando,Alonso,8.0,Canadian Grand Prix
160,3,3,15,hamilton,Lewis,Hamilton,8.0,Canadian Grand Prix
161,4,4,12,leclerc,Charles,Leclerc,8.0,Canadian Grand Prix
162,5,5,10,sainz,Carlos,Sainz,8.0,Canadian Grand Prix
163,6,6,9,perez,Sergio,Pérez,8.0,Canadian Grand Prix
164,7,7,6,albon,Alexander,Albon,8.0,Canadian Grand Prix
165,8,8,4,ocon,Esteban,Ocon,8.0,Canadian Grand Prix
166,9,9,2,stroll,Lance,Stroll,8.0,Canadian Grand Prix
167,10,10,1,bottas,Valtteri,Bottas,8.0,Canadian Grand Prix
168,11,11,0,piastri,Oscar,Piastri,8.0,Canadian Grand Prix
169,12,12,0,gasly,Pierre,Gasly,8.0,Canadian Grand Prix
170,13,13,0,norris,Lando,Norris,8.0,Canadian Grand Prix
171,14,14,0,tsunoda,Yuki,Tsunoda,8.0,Canadian Grand Prix
172,15,15,0,hulkenberg,Nico,Hülkenberg,8.0,Canadian Grand Prix
173,16,16,0,zhou,Guanyu,Zhou,8.0,Canadian Grand Prix
174,17,17,0,kevin_magnussen,Kevin,Magnussen,8.0,Canadian Grand Prix
175,18,18,0,de_vries,Nyck,de Vries,8.0,Canadian Grand Prix
176,19,R,0,russell,George,Russell,8.0,Canadian Grand Prix
177,20,R,0,sargeant,Logan,Sargeant,8.0,Canadian Grand Prix
178,1,1,26,max_verstappen,Max,Verstappen,9.0,Austrian Grand Prix
179,2,2,18,leclerc,Charles,Leclerc,9.0,Austrian Grand Prix
